v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
49,114,42,92,108,38,14,111,34,81,132,22,102,68,79,66,25625
49,34,108,102,42,132,14,79,114,81,38,68,92,22,111,66,25625
66,79,68,102,22,132,81,34,111,14,38,108,92,42,114,49,25625
66,111,22,92,68,38,81,114,79,14,132,42,102,108,34,49,25625
81,34,22,132,68,102,66,79,114,49,92,42,38,108,111,14,25625
81,114,68,38,22,92,66,111,34,49,102,108,132,42,79,14,25625
92,42,114,49,111,14,38,108,22,132,81,34,66,79,68,102,25625
92,22,111,66,114,81,38,68,42,132,14,79,49,34,108,102,25625
102,68,79,66,34,81,132,22,108,38,14,111,49,114,42,92,25625
102,108,34,49,79,14,132,42,68,38,81,114,66,111,22,92,25625
132,22,34,81,79,66,102,68,42,92,49,114,14,111,108,38,25625
132,42,79,14,34,49,102,108,22,92,66,111,81,114,68,38,25625
11,87,137,29,89,83,77,81,103,109,51,47,93,31,1,133,27300
11,103,89,93,137,51,77,1,87,109,83,31,29,47,81,133,27300
29,137,87,11,81,77,83,89,47,51,109,103,133,1,31,93,27300
29,47,81,133,87,109,83,31,137,51,77,1,11,103,89,93,27300
51,47,103,109,1,133,93,31,137,29,11,87,77,81,89,83,27300
51,137,1,77,103,11,93,89,47,29,133,81,109,87,31,83,27300
77,81,89,83,137,29,11,87,1,133,93,31,51,47,103,109,27300
77,1,137,51,89,93,11,103,81,133,29,47,83,31,87,109,27300
83,89,81,77,87,11,29,137,31,93,133,1,109,103,47,51,27300
83,31,87,109,81,133,29,47,89,93,11,103,77,1,137,51,27300
93,31,1,133,103,109,51,47,89,83,77,81,11,87,137,29,27300
93,89,103,11,1,77,51,137,31,83,109,87,133,81,47,29,27300
109,103,47,51,31,93,133,1,87,11,29,137,83,89,81,77,27300
109,87,31,83,47,29,133,81,103,11,93,89,51,137,1,77,27300
133,1,31,93,47,51,109,103,81,77,83,89,29,137,87,11,27300
133,81,47,29,31,83,109,87,1,77,51,137,93,89,103,11,27300
23,96,126,43,141,38,68,39,52,129,69,58,66,13,47,144,27470
23,52,141,66,126,69,68,47,96,129,38,13,43,58,39,144,27470
38,141,39,68,96,23,43,126,13,66,144,47,129,52,58,69,27470
38,13,96,129,39,144,43,58,141,66,23,52,68,47,126,69,27470
43,126,96,23,39,68,38,141,58,69,129,52,144,47,13,66,27470
43,58,39,144,96,129,38,13,126,69,68,47,23,52,141,66,27470
66,13,47,144,52,129,69,58,141,38,68,39,23,96,126,43,27470
66,141,52,23,47,68,69,126,13,38,129,96,144,39,58,43,27470
68,39,141,38,126,43,23,96,47,144,66,13,69,58,52,129,27470
68,47,126,69,141,66,23,52,39,144,43,58,38,13,96,129,27470
69,58,52,129,47,144,66,13,126,43,23,96,68,39,141,38,27470
69,126,47,68,52,23,66,141,58,43,144,39,129,96,13,38,27470
129,52,58,69,13,66,144,47,96,23,43,126,38,141,39,68,27470
129,96,13,38,58,43,144,39,52,23,66,141,69,126,47,68,27470
144,47,13,66,58,69,129,52,39,68,38,141,43,126,96,23,27470
144,39,58,43,13,38,129,96,47,68,69,126,66,141,52,23,27470
7,58,146,59,101,94,62,73,106,119,37,38,82,43,41,134,28210
7,106,101,82,146,37,62,41,58,119,94,43,59,38,73,134,28210
37,38,106,119,41,134,82,43,146,59,7,58,62,73,101,94,28210
37,146,41,62,106,7,82,101,38,59,134,73,119,58,43,94,28210
59,146,58,7,73,62,94,101,38,37,119,106,134,41,43,82,28210
59,38,73,134,58,119,94,43,146,37,62,41,7,106,101,82,28210
62,73,101,94,146,59,7,58,41,134,82,43,37,38,106,119,28210
62,41,146,37,101,82,7,106,73,134,59,38,94,43,58,119,28210
82,43,41,134,106,119,37,38,101,94,62,73,7,58,146,59,28210
82,101,106,7,41,62,37,146,43,94,119,58,134,73,38,59,28210
94,101,73,62,58,7,59,146,43,82,134,41,119,106,38,37,28210
94,43,58,119,73,134,59,38,101,82,7,106,62,41,146,37,28210
119,106,38,37,43,82,134,41,58,7,59,146,94,101,73,62,28210
119,58,43,94,38,59,134,73,106,7,82,101,37,146,41,62,28210
134,41,43,82,38,37,119,106,73,62,94,101,59,146,58,7,28210
